GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logging HTTP Client Spring,com.ocarlsen.logging.http.client.spring,ResponseLoggingInterceptor,0,47,0,0,0,12,0,5,0,5
Logging HTTP Client Spring,com.ocarlsen.logging.http.client.spring,RequestLoggingInterceptor,0,56,0,2,0,12,0,6,0,5
